"State","menHeight","womenHeight"
"Alabama","179+","163-164"
"Alaska","177-179","163-164"
"Arizona","177-179","163-"
"Arkansas","177-179","163-164"
"California","177-","163-"
"Colorado","177-179","163-164"
"Connecticut","177-179","163-"
"Delaware","177-179","163-164"
"Florida","177-179","163-"
"Georgia","177-179","163-164"
"Hawaii","177-","163-"
"Idaho","177-179","163-164"
"Illinois","177-179",""
"Indiana","177-179","163-164"
"Iowa","179+","164+"
"Kansas","177-179","163-164"
"Kentucky","179+","163-164"
"Louisiana","177-179","163-164"
"Maine","177-179","163-164"
"Maryland","177-179","163-164"
"Massachusetts","177-179","163-"
"Michigan","177-179","163-164"
"Minnesota","177-179","164+"
"Mississippi","177-179","163-164"
"Missouri","177-179","163-164"
"Montana","179+","164+"
"Nebraska","179+","164+"
"Nevada","177-","163-"
"New Hampshire","177-179","163-"
"New Jersey","177-","163-"
"New Mexico","177-","163-"
"New York","177-","163-"
"North Carolina","177-179","163-164"
"North Dakota","179+","164+"
"Ohio","177-179","163-164"
"Oklahoma","177-179","163-164"
"Oregon","177-179","164+"
"Pennsylvania","177-179","163-"
"Rhode Island","177-179","163-"
"South Carolina","177-179","163-164"
"South Dakota","179+","164+"
"Tennessee","179+","163-164"
"Texas","177-","163-"
"Utah","179+","164+"
"Vermont","177-179","163-164"
"Virginia","177-179","163-164"
"Washington","177-179","163-164"
"West Virginia","179+","163-"
"Wisconsin","177-179","163-164"
"Wyoming","179+","164+"
