country,pastheight,presentheight,absolute change,percent change
Afghanistan,149.19 cm in 1896,155.08 cm in 1996,+5.89 cm,+4%
Albania,150.20 cm in 1896,161.77 cm in 1996,+11.57 cm,+8%
Algeria,151.86 cm in 1896,159.09 cm in 1996,+7.23 cm,+5%
American Samoa,158.20 cm in 1896,164.52 cm in 1996,+6.32 cm,+4%
Andorra,152.44 cm in 1896,162.90 cm in 1996,+10.47 cm,+7%
Angola,152.60 cm in 1896,157.31 cm in 1996,+4.70 cm,+3%
Antigua and Barbuda,150.61 cm in 1896,160.65 cm in 1996,+10.05 cm,+7%
Argentina,150.59 cm in 1896,159.18 cm in 1996,+8.59 cm,+6%
Armenia,149.63 cm in 1896,158.09 cm in 1996,+8.46 cm,+6%
Australia,155.49 cm in 1896,165.86 cm in 1996,+10.37 cm,+7%
Austria,157.55 cm in 1896,164.62 cm in 1996,+7.07 cm,+4%
Azerbaijan,149.93 cm in 1896,158.25 cm in 1996,+8.32 cm,+6%
Bahamas,150.56 cm in 1896,160.68 cm in 1996,+10.12 cm,+7%
Bahrain,149.66 cm in 1896,156.69 cm in 1996,+7.03 cm,+5%
Bangladesh,141.48 cm in 1896,150.79 cm in 1996,+9.31 cm,+7%
Barbados,152.06 cm in 1896,165.28 cm in 1996,+13.22 cm,+9%
Belarus,153.97 cm in 1896,166.35 cm in 1996,+12.38 cm,+8%
Belgium,155.42 cm in 1896,165.49 cm in 1996,+10.07 cm,+6%
Belize,146.18 cm in 1896,156.88 cm in 1996,+10.70 cm,+7%
Benin,153.16 cm in 1896,156.16 cm in 1996,+3.00 cm,+2%
Bermuda,150.52 cm in 1896,160.69 cm in 1996,+10.17 cm,+7%
Bhutan,146.97 cm in 1896,153.63 cm in 1996,+6.66 cm,+5%
Bolivia,143.19 cm in 1896,153.89 cm in 1996,+10.69 cm,+7%
Bosnia and Herzegovina,153.84 cm in 1896,165.85 cm in 1996,+12.00 cm,+8%
Botswana,156.03 cm in 1896,161.38 cm in 1996,+5.35 cm,+3%
Brazil,150.17 cm in 1896,160.86 cm in 1996,+10.70 cm,+7%
Brunei,145.74 cm in 1896,153.98 cm in 1996,+8.24 cm,+6%
Bulgaria,152.19 cm in 1896,164.80 cm in 1996,+12.61 cm,+8%
Burkina Faso,156.17 cm in 1896,160.19 cm in 1996,+4.02 cm,+3%
Burundi,151.14 cm in 1896,154.02 cm in 1996,+2.89 cm,+2%
Cambodia,146.23 cm in 1896,152.91 cm in 1996,+6.67 cm,+5%
Cameroon,153.80 cm in 1896,158.82 cm in 1996,+5.02 cm,+3%
Canada,157.61 cm in 1896,163.91 cm in 1996,+6.30 cm,+4%
Cape Verde,154.64 cm in 1896,161.65 cm in 1996,+7.01 cm,+5%
Central African Republic,152.10 cm in 1896,158.04 cm in 1996,+5.94 cm,+4%
Chad,156.69 cm in 1896,160.17 cm in 1996,+3.48 cm,+2%
Chile,147.59 cm in 1896,159.36 cm in 1996,+11.77 cm,+8%
China,150.16 cm in 1896,159.71 cm in 1996,+9.55 cm,+6%
Colombia,144.02 cm in 1896,156.85 cm in 1996,+12.83 cm,+9%
Comoros,150.54 cm in 1896,155.58 cm in 1996,+5.05 cm,+3%
