country,pastheight,presentheight,absolute change,percent change
Afghanistan,161.16 cm in 1896,165.26 cm in 1996,+4.09 cm,+3%
Albania,163.33 cm in 1896,173.39 cm in 1996,+10.06 cm,+6%
Algeria,160.39 cm in 1896,170.07 cm in 1996,+9.68 cm,+6%
American Samoa,169.72 cm in 1896,176.05 cm in 1996,+6.33 cm,+4%
Andorra,163.39 cm in 1896,176.06 cm in 1996,+12.67 cm,+8%
Angola,162.17 cm in 1896,167.31 cm in 1996,+5.14 cm,+3%
Antigua and Barbuda,161.71 cm in 1896,172.71 cm in 1996,+11.00 cm,+7%
Argentina,162.34 cm in 1896,174.62 cm in 1996,+12.28 cm,+8%
Armenia,161.85 cm in 1896,172.00 cm in 1996,+10.14 cm,+6%
Australia,168.95 cm in 1896,179.20 cm in 1996,+10.26 cm,+6%
Austria,168.03 cm in 1896,177.41 cm in 1996,+9.38 cm,+6%
Azerbaijan,161.67 cm in 1896,169.75 cm in 1996,+8.08 cm,+5%
Bahamas,161.73 cm in 1896,172.75 cm in 1996,+11.02 cm,+7%
Bahrain,156.71 cm in 1896,167.74 cm in 1996,+11.03 cm,+7%
Bangladesh,158.58 cm in 1896,163.81 cm in 1996,+5.23 cm,+3%
Barbados,164.85 cm in 1896,175.92 cm in 1996,+11.06 cm,+7%
Belarus,167.73 cm in 1896,178.44 cm in 1996,+10.71 cm,+6%
Belgium,167.20 cm in 1896,181.70 cm in 1996,+14.50 cm,+9%
Belize,158.13 cm in 1896,168.73 cm in 1996,+10.60 cm,+7%
Benin,162.51 cm in 1896,167.06 cm in 1996,+4.54 cm,+3%
Bermuda,161.75 cm in 1896,172.69 cm in 1996,+10.94 cm,+7%
Bhutan,161.27 cm in 1896,165.31 cm in 1996,+4.04 cm,+3%
Bolivia,156.32 cm in 1896,166.85 cm in 1996,+10.53 cm,+7%
Bosnia and Herzegovina,168.42 cm in 1896,180.87 cm in 1996,+12.45 cm,+7%
Botswana,166.19 cm in 1896,171.63 cm in 1996,+5.44 cm,+3%
Brazil,163.21 cm in 1896,173.55 cm in 1996,+10.34 cm,+6%
Brunei,155.79 cm in 1896,165.01 cm in 1996,+9.22 cm,+6%
